attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00496,MAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00497,CAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00498,TCAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00499,TCAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00500,TCAP Provide Subscriber Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2018-5612
SIG_00501,CAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00502,INAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00503,CAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00504,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00505,CAP Any Time Interrogation Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00506,MAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2020-7302
SIG_00507,CAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00508,TCAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2024-7838
SIG_00509,MAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00510,MAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2022-8511
SIG_00511,CAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00512,INAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2021-7692
SIG_00513,TCAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00514,TCAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00515,INAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00516,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00517,INAP Send Routing Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2020-5861
SIG_00518,INAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00519,INAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2018-9536
SIG_00520,TCAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00521,TCAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00522,CAP Send Authentication Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,CVE-2021-1119
SIG_00523,INAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00524,INAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00525,INAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00526,TCAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2024-5469
SIG_00527,TCAP Send Routing Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2021-9357
SIG_00528,MAP Send Authentication Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2018-9257
SIG_00529,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2020-4091
SIG_00530,INAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00531,MAP Any Time Interrogation Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00532,MAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2021-5773
SIG_00533,TCAP Any Time Interrogation Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00534,INAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2023-4254
SIG_00535,TCAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00536,TCAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00537,TCAP Provide Subscriber Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00538,CAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00539,CAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00540,INAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-9010
SIG_00541,INAP Send Authentication Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00542,MAP Send Authentication Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00543,MAP Update Location Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00544,TCAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00545,CAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00546,TCAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2022-5333
SIG_00547,TCAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00548,TCAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00549,MAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2023-9679
SIG_00550,CAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00551,TCAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00552,TCAP Provide Subscriber Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,CVE-2018-1242
SIG_00553,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00554,CAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2020-1586
SIG_00555,INAP Send Routing Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00556,MAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2018-6920
SIG_00557,MAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00558,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
